,date,sec_code,change_pct,net_amount_main,net_pct_main,net_amount_xl,net_pct_xl,net_amount_l,net_pct_l,net_amount_m,net_pct_m,net_amount_s,net_pct_s
101,2018-06-05,600779.XSHG,0.94,1777.0817,4.3634,907.3118,2.2278,869.7699,2.1356,-1713.7888,-4.2079,-63.293,-0.1554
102,2018-06-06,600779.XSHG,-0.31,-1803.9676,-6.2938,-539.5205,-1.8823,-1264.4471,-4.4115,1322.7195,4.6148,481.2482,1.679
103,2018-06-07,600779.XSHG,-0.78,-337.0084,-1.7075,359.9675,1.8239,-696.9759,-3.5314,-149.9424,-0.7597,486.9508,2.4673
104,2018-06-08,600779.XSHG,-2.02,-2303.7687,-7.0037,-3651.8337,-11.102,1348.065,4.0983,-288.9659,-0.8785,2592.7347,7.8822
105,2018-06-11,600779.XSHG,-1.97,-3211.8215,-12.202,-275.9751,-1.0485,-2935.8464,-11.1535,-176.1857,-0.6693,3388.0073,12.8713
106,2018-06-12,600779.XSHG,4.11,-6.8826,-0.0201,-279.0472,-0.8146,272.1646,0.7945,1681.2488,4.9076,-1674.3662,-4.8875
107,2018-06-13,600779.XSHG,0.35,159.025,0.6289,-47.0811,-0.1862,206.1061,0.8151,-40.0758,-0.1585,-118.9492,-0.4704
108,2018-06-14,600779.XSHG,-2.96,-1259.5002,-4.2111,-1214.5999,-4.0609,-44.9003,-0.1501,-758.5084,-2.536,2018.0087,6.7471
109,2018-06-15,600779.XSHG,-0.79,-309.9027,-1.7051,113.8182,0.6262,-423.7209,-2.3314,-412.032,-2.267,721.9347,3.9722
110,2018-06-19,600779.XSHG,-4.23,-563.3518,-2.105,-312.0875,-1.1661,-251.2643,-0.9388,-451.8355,-1.6883,1015.1873,3.7932
111,2018-06-20,600779.XSHG,3.75,2549.425,10.2214,675.9237,2.71,1873.5013,7.5114,-1884.0437,-7.5537,-665.3813,-2.6677
112,2018-06-21,600779.XSHG,-1.75,400.807,2.2067,259.7829,1.4303,141.0241,0.7764,-668.5579,-3.6809,267.751,1.4742
113,2018-06-22,600779.XSHG,1.37,554.6083,2.2899,567.4472,2.3429,-12.8389,-0.053,-1017.4376,-4.2009,462.8293,1.911
114,2018-06-25,600779.XSHG,1.94,1283.76,9.0699,228.6837,1.6157,1055.0763,7.4542,-70.6821,-0.4994,-1213.078,-8.5705
115,2018-06-26,600779.XSHG,10.01,2997.8568,47.8425,4414.4982,70.4505,-1416.6414,-22.608,-1652.6593,-26.3746,-1345.1975,-21.4679
116,2018-06-27,600779.XSHG,-0.04,-4008.5076,-3.418,-2587.866,-2.2066,-1420.6416,-1.2114,-646.3072,-0.5511,4654.8163,3.9691
117,2018-06-28,600779.XSHG,-2.07,923.6012,1.307,-1919.1385,-2.7159,2842.7397,4.0229,-1429.8631,-2.0235,506.2618,0.7164
118,2018-06-29,600779.XSHG,1.43,-2290.6116,-4.9129,-248.0685,-0.5321,-2042.5431,-4.3808,1218.2058,2.6128,1072.4057,2.3001
119,2018-07-02,600779.XSHG,-2.06,87.6945,0.2281,-1177.7081,-3.0636,1265.4026,3.2917,-1122.9878,-2.9212,1035.2931,2.6931
